,x,y,stru_type,size
1493,-20.53211,74.19593,Decahedron,0.155
1494,-5.021495,31.294247,Decahedron,0.5
1495,-55.60866,57.01603,HCP,0.32
1496,-16.22515,81.51627,Decahedron,0.125
1497,37.76563,50.93154,BCC,0.745
1498,-16.256126,81.71792,Decahedron,0.125
1499,-15.706669,111.88168,SC,0.035
1500,33.790512,37.378937,BCC,0.715
1501,57.91359,45.567375,BCC,0.905
1502,-16.424374,100.19606,FCC,0.065
1503,-42.82819,58.82004,HCP,0.28
1504,-52.469593,25.54851,HCP,0.54
1505,-30.055305,4.586516,HCP,0.8
1506,48.167084,38.404095,BCC,0.865
1507,7.461263,39.425613,FCC,0.465
1508,-33.066284,51.656307,HCP,0.3
1509,-7.3821115,36.787933,Decahedron,0.425
1510,-23.705996,33.118935,HCP,0.45
1511,24.161682,-0.797549,HCP,0.98
1512,14.262094,19.511501,Decahedron,0.735
1513,-36.641933,15.6173935,HCP,0.64
1514,1.0550181,79.2409,BCC,0.165
1515,-23.049969,3.4458585,HCP,0.81
1516,-26.535673,32.266216,HCP,0.45
1517,-64.430695,59.052193,HCP,0.3
1518,-22.852972,26.861776,HCP,0.5
1519,-50.47317,42.29209,HCP,0.4
1520,1.9716847,24.891285,Decahedron,0.58
1521,-11.385385,8.6438265,HCP,0.8
1522,-62.788136,92.64806,HCP,0.1
1523,-23.030062,28.432175,HCP,0.5
1524,-5.4552007,74.76752,SC,0.165
1525,21.018131,40.25403,SC,0.625
1526,2.9905183,31.455568,Decahedron,0.525
1527,-3.8062832,13.858723,HCP,0.72
1528,6.8409595,19.83291,Decahedron,0.71
1529,-16.739895,100.40363,FCC,0.065
1530,-46.54805,8.866429,HCP,0.7
1531,7.9218326,41.019276,FCC,0.465
1532,-23.675053,40.99824,HCP,0.36
1533,17.899738,31.382545,SC,0.645
1534,-45.457195,84.610825,HCP,0.14
1535,-37.884167,61.679523,HCP,0.24
1536,-52.54102,56.06644,HCP,0.32
1537,-41.45511,65.28039,HCP,0.24
1538,23.888763,56.457424,BCC,0.455
1539,-48.5917,53.465515,HCP,0.32
1540,-20.308374,92.93464,HCP,0.08
1541,-44.70698,83.15016,HCP,0.14
1542,-37.5433,44.966667,HCP,0.36
1543,-12.939647,30.908266,Decahedron,0.505
1544,-36.485573,38.770267,HCP,0.42
1545,18.783897,59.529957,BCC,0.415
1546,27.704184,-0.42843637,HCP,0.98
1547,-45.440693,40.044132,HCP,0.42
1548,-2.834223,74.82551,SC,0.165
1549,24.507008,59.17461,BCC,0.455
1550,-49.028114,60.50802,HCP,0.28
1551,43.783543,49.283615,BCC,0.785
1552,-37.283443,44.732178,HCP,0.36
1553,-23.298538,41.61075,HCP,0.36
1554,1.0529916,40.127266,SC,0.435
1555,-7.089019,91.45181,SC,0.095
1556,-21.121296,-3.8822622,HCP,0.9
1557,22.183184,11.340238,Decahedron,0.865
1558,-23.098124,27.027084,HCP,0.5
1559,-25.516722,69.290405,HCP,0.18
1560,-8.715258,24.560944,Decahedron,0.555
1561,2.6169484,55.187244,FCC,0.315
1562,-26.752218,48.341335,HCP,0.32
1563,-5.88648,38.03523,Decahedron,0.425
1564,-25.221909,70.16826,HCP,0.18
1565,-16.067265,0.017461777,HCP,0.9
1566,24.452879,49.11439,BCC,0.565
1567,-18.5786,130.9758,BCC,0.045
1568,-46.06002,46.569084,HCP,0.35
1569,-10.122347,1.5807357,HCP,0.9
1570,-32.47622,75.87878,HCP,0.16
1571,-35.93792,70.15373,HCP,0.2
1572,33.215466,34.940926,BCC,0.715
1573,29.808764,14.757806,Decahedron,0.89
1574,8.085435,81.15223,BCC,0.175
1575,14.026107,19.612879,Decahedron,0.735
1576,23.085236,19.90882,Decahedron,0.78
1577,2.046159,25.00646,Decahedron,0.58
1578,-25.43869,17.830708,HCP,0.63
1579,-38.254303,30.683704,HCP,0.49
1580,17.18163,28.442345,SC,0.645
1581,1.5738986,9.051992,HCP,0.84
1582,-16.291952,93.87938,Decahedron,0.09
1583,-56.040222,94.65585,HCP,0.09
1584,13.712793,1.140793,HCP,0.96
1585,1.3318596,-1.1567135,HCP,1.0
1586,-24.485498,82.74311,HCP,0.12
1587,-25.622862,89.94827,HCP,0.09
1588,-54.787216,26.57489,HCP,0.54
1589,1.6936888,40.07042,SC,0.435
1590,-44.69864,9.982272,HCP,0.7
1591,-60.21953,17.9192,HCP,0.6
1592,-26.06623,100.88605,HCP,0.06
1593,-65.22307,60.81177,HCP,0.3
1594,-52.840183,83.447395,HCP,0.16
1595,-25.977716,100.859085,HCP,0.06
